brokertitle,type,beds,bath,propertysqft,address,state,main_address,administrative_area_level_2,locality,sublocality,street_name,long_name,formatted_address,latitude,longitude,price
Brokered by TREBACH REALTY INC,Pending,4,2.0,2627.0,519 Tulfan Ter,"Bronx, NY 10463","519 Tulfan TerBronx, NY 10463",United States,New York,Bronx County,The Bronx,Tulfan Terrace,"519 Tulfan Terrace, Bronx, NY 10463, USA",40.8872408,-73.9082189,1595000
Brokered by Axe Realty NYC LLC,Multi-family home for sale,3,2.3738608579684373,2375.0,3950 Hill Ave,"Bronx, NY 10466","3950 Hill AveBronx, NY 10466",United States,New York,Bronx County,The Bronx,Hill Avenue,"3950 Hill Ave, Bronx, NY 10466, USA",40.8902197,-73.8385449,680000
Brokered by COMPASS,Condo for sale,3,3.0,2584.0,16 Warren St Apt 5,"Manhattan, NY 10007","16 Warren St Apt 5Manhattan, NY 10007",New York,New York County,New York,Manhattan,16,"16 Warren St APT 5, New York, NY 10007, USA",40.7142326,-74.0075258,4200000
Brokered by COMPASS,Co-op for sale,3,1.0,2184.207862,41 Jane St Apt 4C,"Manhattan, NY 10014","41 Jane St Apt 4CManhattan, NY 10014",New York,New York County,New York,Manhattan,41,"41 Jane St #4c, New York, NY 10014, USA",40.7383084,-74.0046097,475000
Brokered by Realty Trends Corp,House for sale,5,4.0,3200.0,64-16 Beach Front Rd,"Arverne, NY 11692","64-16 Beach Front RdArverne, NY 11692",United States,New York,Queens County,Queens,Beach Front Road,"6416 Beach Front Rd, Far Rockaway, NY 11692, USA",40.5883964,-73.7934995,1499000
Brokered by Douglas Elliman - 936 Broadway,Co-op for sale,1,1.0,2184.207862,261 Bay 19th St Unit B,"Brooklyn, NY 11214","261 Bay 19th St Unit BBrooklyn, NY 11214",United States,New York,Kings County,Brooklyn,Bay 19th Street,"261 Bay 19th St, Brooklyn, NY 11214, USA",40.6013587,-74.0073583,297000
Brokered by EXP Realty,House for sale,5,2.3738608579684373,4100.0,152 Whitson St,"Forest Hills, NY 11375","152 Whitson StForest Hills, NY 11375",United States,New York,Queens County,Queens,Whitson Street,"152 Whitson St, Forest Hills, NY 11375, USA",40.7107701,-73.8406935,2499000
Brokered by Elite Real Estate Group 1 Llc,House for sale,2,2.0,988.0,659 Wilcox Ave,"Bronx, NY 10465","659 Wilcox AveBronx, NY 10465",United States,New York,Bronx County,The Bronx,Wilcox Avenue,"659 Wilcox Ave, Bronx, NY 10465, USA",40.8285177,-73.8155198,465000
Brokered by BHHS New York Properties,Condo for sale,2,2.0,1450.0,540 W 49th St Ph 8N,"New York, NY 10019","540 W 49th St Ph 8NNew York, NY 10019",New York,New York County,New York,Manhattan,540,"540 W 49th St Ph 8n, New York, NY 10019, USA",40.764655,-73.994257,2255000
Brokered by YourHomeSold Guarantee Realty,Land for sale,3,2.3738608579684373,2184.207862,1818 Unionport Rd,"Bronx, NY 10462","1818 Unionport RdBronx, NY 10462",United States,New York,Bronx County,The Bronx,Unionport Road,"1818 Unionport Rd, Bronx, NY 10462, USA",40.8453241,-73.8684042,250000
Brokered by AAA Young Shuen Realty Inc,House for sale,5,2.3738608579684373,2184.207862,146-06 13th Ave,"Whitestone, NY 11357","146-06 13th AveWhitestone, NY 11357",United States,New York,Queens County,Queens,13th Avenue,"146-06 13th Ave, Flushing, NY 11357, USA",40.7886657,-73.8207928,1288000
Brokered by BROOKLYN`S 4 U REALTY,House for sale,7,4.0,2800.0,2719 Whitman Dr,"Brooklyn, NY 11234","2719 Whitman DrBrooklyn, NY 11234",United States,New York,Kings County,Brooklyn,Whitman Drive,"2719 Whitman Dr, Brooklyn, NY 11234, USA",40.6049921,-73.9106532,1899000
Brokered by Douglas Elliman - 187 Seventh Ave,Co-op for sale,1,1.0,750.0,3500 Snyder Ave Apt 5N,"Brooklyn, NY 11203","3500 Snyder Ave Apt 5NBrooklyn, NY 11203",New York,Kings County,Brooklyn,Little Haiti,3500,"3500 Snyder Ave #5n, Brooklyn, NY 11203, USA",40.6491203,-73.9440658,259000
Brokered by Elegran Real Estate And Development,Condo for sale,3,1.0,509.0,150 E 37th St Apt 4B,"New York, NY 10016","150 E 37th St Apt 4BNew York, NY 10016",New York,New York County,New York,Manhattan,150,"150 E 37th St #4b, New York, NY 10016, USA",40.7478487,-73.9775903,540000
Brokered by Corcoran East Side,Co-op for sale,2,2.0,1200.0,40 W 67th St Apt 8B,"New York, NY 10023","40 W 67th St Apt 8BNew York, NY 10023",New York,New York County,New York,Manhattan,40,"40 W 67th St #8b, New York, NY 10023, USA",40.773416,-73.979787,1995000
Brokered by Jerry Fink Real Estate Inc,House for sale,3,2.0,2184.207862,156-23 88th St,"Howard Beach, NY 11414","156-23 88th StHoward Beach, NY 11414",United States,New York,Queens County,Queens,88th Street,"156-23 88th St, Howard Beach, NY 11414, USA",40.6628113,-73.8453503,550000
Brokered by EXP Realty,Pending,3,1.0,445.0,87-70 173rd St Unit 5J,"Jamaica, NY 11432","87-70 173rd St Unit 5JJamaica, NY 11432",New York,Queens County,Queens,Jamaica,87-70,"87-70 173rd St #5j, Jamaica, NY 11432, USA",40.711337,-73.789277,100000
"Brokered by Plaza Island Properties, LLC",Multi-family home for sale,2,1.0,2675.0,166 Jewett Ave,"Staten Island, NY 10302","166 Jewett AveStaten Island, NY 10302",United States,New York,Richmond County,Staten Island,Jewett Avenue,"166 Jewett Ave, Staten Island, NY 10302, USA",40.6330311,-74.1301207,669000
Brokered by REAL NEW YORK - Lower East Side,Condo for sale,3,1.0,930.0,282A Nassau Ave Apt 3A,"Brooklyn, NY 11222","282A Nassau Ave Apt 3ABrooklyn, NY 11222",New York,Kings County,Brooklyn,Greenpoint,282A,"282A Nassau Ave #3a, Brooklyn, NY 11222, USA",40.7259961,-73.9393987,989000
Brokered by Coldwell Banker Advantage,House for sale,3,2.0,1092.0,8 Piedmont Ave,"Staten Island, NY 10305","8 Piedmont AveStaten Island, NY 10305",United States,New York,Richmond County,Staten Island,Piedmont Avenue,"8 Piedmont Ave, Staten Island, NY 10305, USA",40.6038744,-74.0739123,1099000
Brokered by RE MAX Edge,Pending,2,2.0,1100.0,9967 Shore Rd Apt 7E,"Brooklyn, NY 11209","9967 Shore Rd Apt 7EBrooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,9967,"9967 Shore Rd #7e, Brooklyn, NY 11209, USA",40.6123382,-74.0356075,495000
Brokered by Sowae Corp,House for sale,4,2.0,1980.0,781 Sheperd Ave,"Brooklyn, NY 11208","781 Sheperd AveBrooklyn, NY 11208",United States,New York,Kings County,Brooklyn,Shepherd Avenue,"781 Shepherd Ave, Brooklyn, NY 11208, USA",40.665357,-73.8770867,400000
Brokered by Ideal Properties Realty,Pending,8,6.0,6200.0,1121 E 22nd St,"Brooklyn, NY 11210","1121 E 22nd StBrooklyn, NY 11210",United States,New York,Kings County,Brooklyn,East 22nd Street,"1121 E 22nd St, Brooklyn, NY 11210, USA",40.62481,-73.9539607,3850000
Brokered by Bold Realty Corp,House for sale,5,4.0,2184.207862,138-51 63rd Ave,"Flushing, NY 11367","138-51 63rd AveFlushing, NY 11367",United States,New York,Queens County,Queens,63rd Avenue,"138-51 63rd Ave, Flushing, NY 11367, USA",40.7399679,-73.826261,1425000
Brokered by Hauseit LLC - Hauseit LLC,Townhouse for sale,2,2.0,1152.0,58-36 79th St,"Middle Village, NY 11379","58-36 79th StMiddle Village, NY 11379",United States,New York,Queens County,Queens,79th Street,"58-36 79th St, Flushing, NY 11379, USA",40.7259203,-73.8814296,868000
Built by Toll Brothers,For sale,1,1.0,621.0,The Rockwell # 3A,"New York, NY 10025","The Rockwell # 3ANew York, NY 10025",United States,New York,New York County,New York,West 103rd Street,"218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035,950000
Brokered by RE MAX Edge,Multi-family home for sale,3,3.0,2520.0,2120 E 26th St,"Brooklyn, NY 11229","2120 E 26th StBrooklyn, NY 11229",United States,New York,Kings County,Brooklyn,East 26th Street,"2120 E 26th St, Brooklyn, NY 11229, USA",40.5994335,-73.9458671,1139000
Brokered by Realty Connect USA LLC,House for sale,4,2.0,2600.0,45 E Loop Rd,"Staten Island, NY 10304","45 E Loop RdStaten Island, NY 10304",United States,New York,Richmond County,Staten Island,East Loop Road,"45 E Loop Rd, Staten Island, NY 10304, USA",40.5908362,-74.1019957,1999000
Brokered by Nyc Realty Brokers Llc,Co-op for sale,1,1.0,750.0,460 Neptune Ave Apt 14O,"Brooklyn, NY 11224","460 Neptune Ave Apt 14OBrooklyn, NY 11224",New York,Kings County,Brooklyn,Coney Island,460,"460 Neptune Ave #14a, Brooklyn, NY 11224, USA",40.579147,-73.9709488,349000
Brokered by Weichert Realtors The Franzese Group,House for sale,4,2.0,1720.0,649 Bay Ridge Pkwy,"Brooklyn, NY 11209","649 Bay Ridge PkwyBrooklyn, NY 11209",United States,New York,Kings County,Brooklyn,Bay Ridge Parkway,"649 Bay Ridge Pkwy, Brooklyn, NY 11209, USA",40.6275081,-74.018889,1089000
"Brokered by Ronald Greene, Realtor",Pending,3,2.0,2184.207862,149-47 115th St,"South Ozone Park, NY 11420","149-47 115th StSouth Ozone Park, NY 11420",United States,New York,Queens County,Queens,115th Street,"149-47 115th St, Jamaica, NY 11420, USA",40.6680173,-73.8253534,698999
Brokered by Native Real Estate - Native Real Estate,House for sale,4,4.0,4374.0,105 Franklin St,"Brooklyn, NY 11222","105 Franklin StBrooklyn, NY 11222",United States,New York,Kings County,Brooklyn,Franklin Street,"105 Franklin St, Brooklyn, NY 11222, USA",40.7295332,-73.957726,3850000
Brokered by Dreamlife Realty New York Llc,Co-op for sale,1,1.0,800.0,2400 E 3rd St Apt 228,"Brooklyn, NY 11223","2400 E 3rd St Apt 228Brooklyn, NY 11223",New York,Kings County,Brooklyn,Gravesend,2400,"2400 E 3rd St Apt 228, Brooklyn, NY 11223, USA",40.5911414,-73.9676771,323000
Brokered by American Dream Kalaba Realty LLC,Multi-family home for sale,3,2.3738608579684373,17000.0,151 Daniel Low Ter,"Staten Island, NY 10301","151 Daniel Low TerStaten Island, NY 10301",United States,New York,Richmond County,Staten Island,Daniel Low Terrace,"151 Daniel Low Terrace, Staten Island, NY 10301, USA",40.640823,-74.0800239,3200000
Brokered by EXIT REALTY FIRST CHOICE,House for sale,5,3.0,2184.207862,76-24 176th St,"Fresh Meadows, NY 11366","76-24 176th StFresh Meadows, NY 11366",United States,New York,Queens County,Queens,176th Street,"76-24 176th St, Flushing, NY 11366, USA",40.7262631,-73.7937601,1578000
Brokered by Realty Executives Today,Co-op for sale,2,1.0,2184.207862,84-25 118 St Unit 1B,"Kew Gardens, NY 11418","84-25 118 St Unit 1BKew Gardens, NY 11418",New York,Queens County,Queens,Kew Gardens,8425,"8425 118th St Apt 1d, Kew Gardens, NY 11415, USA",40.7041499,-73.83371,259000
Brokered by COMPASS,Co-op for sale,1,1.0,2184.207862,151-31 88th St Unit 2F,"Howard Beach, NY 11414","151-31 88th St Unit 2FHoward Beach, NY 11414",New York,Queens County,Queens,Jamaica,151-31,"151-31 88th St #2f, Jamaica, NY 11414, USA",40.6668092,-73.8471901,189990
Brokered by Remax Edge - RE/MAX EDGE,Multi-family home for sale,9,8.0,2961.0,3812 Cypress Ave,"Brooklyn, NY 11224","3812 Cypress AveBrooklyn, NY 11224",United States,New York,Kings County,Brooklyn,Cypress Avenue,"3812 Cypress Ave, Brooklyn, NY 11224, USA",40.5784148,-74.0064631,1498000
Brokered by EXIT ALL SEASONS REALTY,Condo for sale,1,1.0,616.0,60-70 Woodhaven Blvd Unit 4H,"Elmhurst, NY 11373","60-70 Woodhaven Blvd Unit 4HElmhurst, NY 11373",New York,Queens County,Queens,Elmhurst,60-70,"60-70 Woodhaven Blvd #4b, Elmhurst, NY 11373, USA",40.7301358,-73.871999,399000
"Brokered by NEUHAUS REALTY, INC.",House for sale,4,4.0,3150.0,782 Ionia Ave,"Staten Island, NY 10312","782 Ionia AveStaten Island, NY 10312",United States,New York,Richmond County,Staten Island,Ionia Avenue,"782 Ionia Ave, Staten Island, NY 10312, USA",40.5365056,-74.1988326,1600000
Brokered by Adcny Realty Corp,Co-op for sale,2,1.0,600.0,526 W 158th St Apt 64,"New York, NY 10032","526 W 158th St Apt 64New York, NY 10032",New York,New York County,New York,Manhattan,526,"526 W 158th St #64, New York, NY 10032, USA",40.833945,-73.9432359,185000
Brokered by Century 21 Papp Realty,House for sale,3,4.0,2100.0,20 Gabriele Ct,"Staten Island, NY 10312","20 Gabriele CtStaten Island, NY 10312",United States,New York,Richmond County,Staten Island,Gabrielle Court,"20 Gabrielle Ct, Staten Island, NY 10312, USA",40.551314,-74.1670026,880000
Brokered by TRACEY REAL ESTATE,Co-op for sale,2,1.0,1100.0,125 Ocean Ave Apt 1J,"Brooklyn, NY 11225","125 Ocean Ave Apt 1JBrooklyn, NY 11225",New York,Kings County,Brooklyn,Little Caribbean,125,"125 Ocean Ave #1j, Brooklyn, NY 11225, USA",40.6599761,-73.9622977,699000
Brokered by SOUTHSIDE REALTY GROUP LLC,House for sale,8,3.0,2184.207862,2066 Ryer Ave,"Bronx, NY 10457","2066 Ryer AveBronx, NY 10457",United States,New York,Bronx County,The Bronx,Ryer Avenue,"2066 Ryer Ave, Bronx, NY 10457, USA",40.8523239,-73.900732,999900
"Brokered by Nest Seekers International, Midtown",Co-op for sale,2,1.0,2184.207862,800 Grand Concourse Apt 3RS,"Bronx, NY 10451","800 Grand Concourse Apt 3RSBronx, NY 10451",New York,Bronx County,The Bronx,Concourse Village,800,"800 Grand Concourse #3r, Bronx, NY 10451, USA",40.8248699,-73.9229829,300000
Brokered by Inter Realty Llc,Multi-family home for sale,9,6.0,5712.0,522 E 51st St Unit 6,"Brooklyn, NY 11203","522 E 51st St Unit 6Brooklyn, NY 11203",New York,Kings County,Brooklyn,East Flatbush,522,"522 E 51st St #6b, Brooklyn, NY 11203, USA",40.6488068,-73.9293919,875000
Brokered by Douglas Elliman - 1995 Broadway,Pending,1,1.0,2184.207862,55 Central Park W Apt 12B,"New York, NY 10023","55 Central Park W Apt 12BNew York, NY 10023",New York,New York County,New York,Manhattan,55,"55 Central Park W #12b, New York, NY 10023, USA",40.7722757,-73.979081,1295000
Brokered by Momentum Real Estate Llc,House for sale,3,2.0,1152.0,15 Astor Ave,"Staten Island, NY 10314","15 Astor AveStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,Astor Avenue,"15 Astor Ave, Staten Island, NY 10314, USA",40.6144686,-74.1592392,549000
Brokered by LoHo Realty Inc,Co-op for sale,4,2.0,2184.207862,453 Fdr Dr Unit C803-804,"New York City, NY 10002","453 Fdr Dr Unit C803-804New York City, NY 10002",New York,New York County,New York,Manhattan,453,"453 FDR Dr c803, New York, NY 10002, USA",40.7129113,-73.9781415,1995000
Brokered by Modlin Group LLC,Co-op for sale,1,1.0,2184.207862,303 W 66th St Apt 11JW,"New York, NY 10023","303 W 66th St Apt 11JWNew York, NY 10023",New York,New York County,New York,Manhattan,303,"303 W 66th St #11j, New York, NY 10023, USA",40.776554,-73.9876401,695000
Brokered by Halstead Property - 160 7th Avenue,Townhouse for sale,8,4.0,3900.0,489 7th Ave Unit Townhouse,"Brooklyn, NY 11215","489 7th Ave Unit TownhouseBrooklyn, NY 11215",United States,New York,Kings County,Brooklyn,7th Avenue,"489 7th Ave, Brooklyn, NY 11215, USA",40.6616741,-73.985673,2550000
Brokered by COMPASS,Townhouse for sale,6,2.3738608579684373,8300.0,109 Waverly Pl,"Manhattan, NY 10011","109 Waverly PlManhattan, NY 10011",United States,New York,New York County,New York,Waverly Place,"109 Waverly Pl, New York, NY 10011, USA",40.7326368,-73.998918,19995000
Brokered by Excell Choice Realty,House for sale,8,3.0,2184.207862,119 Fenimore St,"Brooklyn, NY 11225","119 Fenimore StBrooklyn, NY 11225",United States,New York,Kings County,Brooklyn,Fenimore Street,"119 Fenimore St, Brooklyn, NY 11225, USA",40.658346,-73.9583816,1649000
Brokered by Corcoran Park Slope,Multi-family home for sale,5,6.0,2184.207862,206 Vanderbilt Ave,"Brooklyn, NY 11205","206 Vanderbilt AveBrooklyn, NY 11205",United States,New York,Kings County,Brooklyn,Vanderbilt Avenue,"206 Vanderbilt Ave, Brooklyn, NY 11205, USA",40.6912637,-73.9696573,4800000
Brokered by COMPASS,Co-op for sale,2,1.0,2184.207862,226-09 88 Ave Unit Upper,"Queens Village, NY 11427","226-09 88 Ave Unit UpperQueens Village, NY 11427",United States,New York,Queens County,Queens,88th Avenue,"226- 9 88th Ave, Queens, NY 11427, USA",40.7308084,-73.7400835,279000
Brokered by E Realty International Corp,Multi-family home for sale,5,3.0,1026.0,1520 63rd St,"Brooklyn, NY 11219","1520 63rd StBrooklyn, NY 11219",United States,New York,Kings County,Brooklyn,63rd Street,"1520 63rd St, Brooklyn, NY 11219, USA",40.6240315,-73.9954118,1138000
Brokered by Voro Llc,House for sale,3,2.0,2184.207862,116-34 146th St,"Jamaica, NY 11436","116-34 146th StJamaica, NY 11436",United States,New York,Queens County,Queens,146th Street,"116-34 146th St, Jamaica, NY 11436, USA",40.6808451,-73.7952952,686000
Brokered by Corcoran SoHo,Co-op for sale,1,1.0,2184.207862,319 E 50th St Apt 9E,"New York, NY 10022","319 E 50th St Apt 9ENew York, NY 10022",New York,New York County,New York,Manhattan,319,"319 E 50th St #9e, New York, NY 10022, USA",40.7546656,-73.9675207,679000
Brokered by COMPASS,Co-op for sale,3,3.0,2195.0,336 Central Park W Apt 3B,"Manhattan, NY 10025","336 Central Park W Apt 3BManhattan, NY 10025",New York,New York County,New York,Manhattan,336,"336 Central Park W #3b, New York, NY 10025, USA",40.7904197,-73.966175,2200000
Brokered by EXIT REALTY PRIME,House for sale,3,2.0,1500.0,115-11 126th St,"South Ozone Park, NY 11420","115-11 126th StSouth Ozone Park, NY 11420",United States,New York,Queens County,Queens,126th Street,"115-11 126th St, South Ozone Park, NY 11420, USA",40.6785308,-73.8130811,699000
Brokered by Corcoran Chelsea/Flatiron,Condo for sale,4,4.0,3844.0,385 W 12th St Ph W,"New York, NY 10014","385 W 12th St Ph WNew York, NY 10014",United States,New York,New York County,New York,West 12th Street,"385 W 12th St, New York, NY 10014, USA",40.7377131,-74.0087585,13000000
Brokered by Infinity LUXXE Estates LLC,House for sale,3,2.0,1221.0,10229 Davenport Ct,"Howard Beach, NY 11414","10229 Davenport CtHoward Beach, NY 11414",United States,New York,Queens County,Queens,Davenport Court,"10229 Davenport Ct, Jamaica, NY 11414, USA",40.653784,-73.8286059,550000
Brokered by Red Door Realty Group,House for sale,3,4.0,1672.0,661 Ocean Ter,"Staten Island, NY 10301","661 Ocean TerStaten Island, NY 10301",United States,New York,Richmond County,Staten Island,Ocean Terrace,"661 Ocean Terrace, Staten Island, NY 10301, USA",40.6069525,-74.1016936,1288888
Brokered by Winzone Realty Inc,House for sale,4,3.0,2184.207862,141-03 15th Ave,"Whitestone, NY 11357","141-03 15th AveWhitestone, NY 11357",United States,New York,Queens County,Queens,15th Avenue,"141-03 15th Ave, Flushing, NY 11357, USA",40.7848355,-73.8276854,1290000
Brokered by COMPASS,Co-op for sale,1,1.0,2184.207862,385 E 18th St Apt 6J,"Brooklyn, NY 11226","385 E 18th St Apt 6JBrooklyn, NY 11226",New York,Kings County,Brooklyn,Flatbush,385,"385 E 18th St #6j, Brooklyn, NY 11226, USA",40.6419847,-73.9614428,539000
Brokered by Corcoran East Side,Condo for sale,2,2.0,1600.0,401 E 60th St Apt 17A,"New York, NY 10022","401 E 60th St Apt 17ANew York, NY 10022",New York,New York County,New York,Manhattan,401,"401 E 60th St #17a, New York, NY 10022, USA",40.7603031,-73.9610497,2095000
Brokered by E Realty International Corp,Multi-family home for sale,9,2.3738608579684373,2350.0,16-33 166th St,"Whitestone, NY 11357","16-33 166th StWhitestone, NY 11357",United States,New York,Queens County,Queens,166th Street,"16-33 166th St, Flushing, NY 11357, USA",40.7832094,-73.7967588,2880000
Brokered by Grand Realty Advisors,House for sale,3,2.0,1088.0,186 Mackenzie St,"Brooklyn, NY 11235","186 Mackenzie StBrooklyn, NY 11235",United States,New York,Kings County,Brooklyn,Mackenzie Street,"186 Mackenzie St, Brooklyn, NY 11235, USA",40.5787747,-73.9401956,1190000
Brokered by Utopia Real Estate,Co-op for sale,1,1.0,2184.207862,35-45 81 St Unit C1,"Jackson Heights, NY 11372","35-45 81 St Unit C1Jackson Heights, NY 11372",New York,Queens County,Queens,Jackson Heights,35-45,"35-45 81st St c1, Jackson Heights, NY 11372, USA",40.7505078,-73.8851355,294500
Brokered by Morris Park Realty Group,Multi-family home for sale,3,2.0,2194.0,1626 Research Ave,"Bronx, NY 10465","1626 Research AveBronx, NY 10465",United States,New York,Bronx County,The Bronx,Research Avenue,"1626 Research Ave, Bronx, NY 10465, USA",40.8467388,-73.8189548,850000
Brokered by B Square Realty,Condo for sale,1,1.0,958.0,37-32 89th St Unit 1A,"Jackson Heights, NY 11372","37-32 89th St Unit 1AJackson Heights, NY 11372",New York,Queens County,Queens,Flushing,37-32,"37-32 89th St #1a, Queens, NY 11372, USA",40.7494499,-73.8778676,599000
Brokered by Corcoran Westside Columbus,Condo for sale,3,3.0,1756.0,1280 Fifth Ave Apt 17B,"New York, NY 10029","1280 Fifth Ave Apt 17BNew York, NY 10029",New York,New York County,New York,Manhattan,1280,"1280 5th Ave #17b, New York, NY 10029, USA",40.7961886,-73.949116,3700000
Brokered by Douglas Elliman - 936 Broadway,Condo for sale,3,2.0,1744.0,90 E End Ave Apt 6B,"New York, NY 10028","90 E End Ave Apt 6BNew York, NY 10028",New York,New York County,New York,Manhattan,90,"90 East End Ave #6b, New York, NY 10028, USA",40.7735704,-73.9461541,2449000
Brokered by Top Nest Inc,House for sale,3,2.0,1224.0,939 E 87th St,"Brooklyn, NY 11236","939 E 87th StBrooklyn, NY 11236",United States,New York,Kings County,Brooklyn,East 87th Street,"939 E 87th St, Brooklyn, NY 11236, USA",40.63818,-73.9071525,594900
Brokered by Keller Williams NYC,Multi-family home for sale,5,3.0,1500.0,147-18 16th Rd,"Whitestone, NY 11357","147-18 16th RdWhitestone, NY 11357",United States,New York,Queens County,Queens,16th Road,"147-18 16th Rd, Flushing, NY 11357, USA",40.7849809,-73.8178033,1288000
"Brokered by Neuhaus Realty, Inc.",Multi-family home for sale,5,2.0,2288.0,65 Rensselaer Ave Unit A,"Staten Island, NY 10312","65 Rensselaer Ave Unit AStaten Island, NY 10312",United States,New York,Richmond County,Staten Island,Rensselaer Avenue,"65 Rensselaer Ave, Staten Island, NY 10312, USA",40.5501403,-74.1810379,995000
Brokered by COMPASS,Co-op for sale,1,1.0,800.0,150 Hawthorne St Apt 5D,"Brooklyn, NY 11225","150 Hawthorne St Apt 5DBrooklyn, NY 11225",New York,Kings County,Brooklyn,Prospect Lefferts Gardens,150,"150 Hawthorne St #5d, Brooklyn, NY 11225, USA",40.6573594,-73.9554071,499000
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,1,1.0,1115.0,111-20 73rd Ave Unit 6H,"Forest Hills, NY 11375","111-20 73rd Ave Unit 6HForest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,11120,"11120 73rd Ave #6h, Forest Hills, NY 11375, USA",40.7193296,-73.8380044,450000
Brokered by Mcgrath Realty Inc.,Condo for sale,2,2.0,1043.0,40 Pinehurst Ave Apt 8B,"New York, NY 10033","40 Pinehurst Ave Apt 8BNew York, NY 10033",New York,New York County,New York,Manhattan,40,"40 Pinehurst Ave #8b, New York, NY 10033, USA",40.849705,-73.94014,1389000
Brokered by RE MAX Real Estate Professionals,Condo for sale,2,2.0,821.0,1495 E 28th St Apt 3A,"Brooklyn, NY 11229","1495 E 28th St Apt 3ABrooklyn, NY 11229",New York,Kings County,Brooklyn,Midwood,1495,"1495 E 28th St #3a, Brooklyn, NY 11229, USA",40.6145816,-73.9463149,539000
Brokered by COMPASS,Condo for sale,1,2.0,1321.0,108 Reade St Unit 4W,"Manhattan, NY 10013","108 Reade St Unit 4WManhattan, NY 10013",New York,New York County,New York,Manhattan,108,"108 Reade St #4b, New York, NY 10013, USA",40.7159753,-74.0083683,2000000
Brokered by RITZ REALTY NY CORP.,Condo for sale,2,1.0,640.0,4016 7th Ave Unit 2R,"Brooklyn, NY 11232","4016 7th Ave Unit 2RBrooklyn, NY 11232",New York,Kings County,Brooklyn,Sunset Park,4016,"4016 7th Ave #2r, Brooklyn, NY 11232, USA",40.6478661,-74.0006098,680000
